BIDU
INTC
SPLK
ADBE
TEAM
AVGO
DOCU
MCHP
QCOM
SNPS
WDAY
AMD
ADI
ANSS
AMAT
ASML
ADSK
CHKP
CTSH
KLAC
LRCX
MXIM
MU
SWKS
VRSN
XLNX
ZM
AAPL
CDNS
CDW
INTU
MTCH
MSFT
NXPI
TXN
FB
MRVL
OKTA
NVDA
GOOG
GOOGL
